hanyu,hwa
"*v*,*ü*",*yu*
"qu*,qv*,qio*",cyu*
"xu*,xv*,xio*",syu*
qi*,ci*
xi,sii
xi*,si*
ci*,tsi*
"*ue,*ve,*üe",*yue
ca*,tsa*
ce*,tse*
co*,tso*
cu*,tsu*
*iu,*iou
*ian,*ien





