郵遞區號,行政區,行政區外文名稱
100,中正區,Jhongshan District
103,大同區,Datong District
104,中山區,Jhongshan District
105,松山區,Songshan District
106,大安區,Daan District
108,萬華區,Wanhua District
110,信義區,Sinyi District
111,士林區,Shilin District
112,北投區,Beitou District
114,內湖區,Neihu District
115,南港區,Nangang District
116,文山區,Wenshan District
